OUTPUT FROM: poly3d_omp, version 3.0
   COMPILED: Jan 19 2026

 INPUT FILE: 800elts.in
     TITLE1: Converted from 800elts.ts by ts2in.pl
     TITLE2: Wed Dec 24 00:00:41 2014

ELASTIC CONSTANTS:
    Shear Modulus   = 30000.000000
    Poisson's Ratio = 0.250000
    Young's Modulus = 75000.000000
    Bulk Modulus    = 50000.000000
    Lame's Lambda   = 30000.000000

NULL OUPUT VALUE = -999.000000

COEF EXCLUSION VALUE = 0.000000

CONDITION NUMBER = 88.376662


====================================================
              OBJECT: str090Dip45
ELT CENTER COORD SYS: global
====================================================

DISPLACEMENTS:

   ELT                X1C                X2C                X3C                 B1              U1(+)              U1(-)                 B2              U2(+)              U2(-)                 B3              U3(+)              U3(-) Coord Sys
    37       9166.6666667       -117.8511302       -117.8511302  -6.1501138506e-04  -3.3002767772e-04   2.8498370734e-04   1.7658420745e-04   1.6957727782e-04  -7.0069296329e-06   0.0000000000e+00   7.8581082454e-05   7.8581082454e-05 elocal
    38       9333.3333333       -235.7022604       -235.7022604  -5.7056042930e-04  -3.2617724585e-04   2.4438318345e-04   1.4271742365e-04   1.5231519723e-04   9.5977735818e-06   0.0000000000e+00   7.7317930614e-05   7.7317930614e-05 elocal
    39       9666.6666667       -117.8511302       -117.8511302  -4.3005037695e-04  -2.2204393258e-04   2.0800644437e-04   1.5116377169e-04   1.5808945631e-04   6.9256846202e-06   0.0000000000e+00   5.5467720275e-05   5.5467720275e-05 elocal
    40       9833.3333333       -235.7022604       -235.7022604  -3.4794326024e-04  -1.8755209522e-04   1.6039116503e-04   8.6374692969e-05   1.1736989585e-04   3.0995202880e-05   0.0000000000e+00   4.8709185340e-05   4.8709185340e-05 elocal
    41        166.6666667       -471.4045208       -471.4045208  -3.2835392135e-04  -1.8520811130e-04   1.4314581005e-04  -5.2171647137e-05  -8.4946247558e-05  -3.2774600421e-05   0.0000000000e+00   5.6116555307e-05   5.6116555307e-05 elocal
    42        333.3333333       -589.2556510       -589.2556510  -3.9187096293e-04  -2.2864968047e-04   1.6322128246e-04  -4.9648115471e-05  -7.8739771909e-05  -2.9091656439e-05   0.0000000000e+00   6.0824405090e-05   6.0824405090e-05 elocal
    43        666.6666667       -471.4045208       -471.4045208  -5.4750170954e-04  -3.2449357256e-04   2.2300813698e-04  -8.5046239236e-05  -1.0712540434e-04  -2.2079165106e-05   0.0000000000e+00   8.8185724751e-05   8.8185724751e-05 elocal
    44        833.3333333       -589.2556510       -589.2556510  -5.8735280602e-04  -3.5335555390e-04   2.3399725212e-04  -7.4489659527e-05  -9.4774446625e-05  -2.0284787099e-05   0.0000000000e+00   8.6478728328e-05   8.6478728328e-05 elocal
    45       1166.6666667       -471.4045208       -471.4045208  -6.9448745307e-04  -4.2066549041e-04   2.7382196266e-04  -9.9836119415e-05  -1.1531233969e-04  -1.5476220270e-05   0.0000000000e+00   1.1320332149e-04   1.1320332149e-04 elocal
    46       1333.3333333       -589.2556510       -589.2556510  -7.2424316133e-04  -4.4280948053e-04   2.8143368080e-04  -8.5635375516e-05  -1.0029648436e-04  -1.4661108841e-05   0.0000000000e+00   1.0746980125e-04   1.0746980125e-04 elocal
